 
2016-10-12, 11:55:41, Main ,Code , 18 ,Info , PP to main 
2016-10-12, 11:56:49, Offset ,Code , 31 ,Info , off:1 x=-2.14 n=-3.67 p=-0.61 P1=-765.65 P2=782.38 
2016-10-12, 11:56:50, Cycletime ,Code , 99 ,Info , Laad Station:1 van Buffer:2 |Time:68.97 
2016-10-12, 11:57:43, Offset ,Code , 31 ,Info , off:2 x=-3.50 n=-3.67 p=-3.34 P1=-765.65 P2=785.11 
2016-10-12, 11:57:44, Cycletime ,Code , 99 ,Info , Laad Station:2 van Buffer:2 |Time:54.10 
2016-10-12, 11:58:38, Offset ,Code , 31 ,Info , off:3 x=-2.59 n=-3.84 p=-1.34 P1=-765.47 P2=783.11 
2016-10-12, 11:58:38, Cycletime ,Code , 99 ,Info , Laad Station:3 van Buffer:2 |Time:54.46 
2016-10-12, 11:59:39, Offset ,Code , 31 ,Info , off:4 x=-2.49 n=-3.64 p=-1.35 P1=-765.68 P2=783.13 
2016-10-12, 11:59:40, Cycletime ,Code , 99 ,Info , Laad Station:4 van Buffer:2 |Time:61.30 
2016-10-12, 12:04:33, Cycletime ,Code , 99 ,Info , Sation:1 Boren Type:4 |Time:292.89 
2016-10-12, 12:08:17, Cycletime ,Code , 99 ,Info , Sation:2 Boren Type:4 |Time:224.20 
2016-10-12, 12:12:01, Cycletime ,Code , 99 ,Info , Sation:3 Boren Type:4 |Time:224.18 
